TimeStamp;RH;C
2020-09-28 19:32;61,04;18,32
2020-09-28 19:47;61,55;18,32
2020-09-28 20:02;61,55;18,32
2020-09-28 20:17;61,55;18,32
2020-09-28 20:32;61,55;18,32
2020-09-28 20:47;61,55;18,32
2020-09-28 21:02;61,04;18,32
2020-09-28 21:17;61,55;18,32
2020-09-28 21:32;61,55;18,32
2020-09-28 21:47;61,55;18,32
2020-09-28 22:02;61,55;18,32
2020-09-28 22:17;61,55;18,32
2020-09-28 22:32;61,55;18,02
2020-09-28 22:47;61,55;17,42
2020-09-28 23:02;61,55;17,42
2020-09-28 23:17;61,55;18,02
2020-09-28 23:32;61,55;18,02
2020-09-28 23:47;61,55;18,02
2020-09-29 00:02;61,55;18,32
2020-09-29 00:17;61,55;18,32
2020-09-29 00:32;61,04;18,32
2020-09-29 00:47;61,04;18,02
2020-09-29 01:02;61,04;18,02
2020-09-29 01:17;61,04;18,02
2020-09-29 01:32;61,04;17,72
2020-09-29 01:47;61,04;17,72
2020-09-29 02:02;61,04;17,72
2020-09-29 02:17;61,04;17,72
2020-09-29 02:32;61,04;17,72
2020-09-29 02:47;61,04;17,72
2020-09-29 03:02;61,04;17,72
2020-09-29 03:17;61,04;17,72
2020-09-29 03:32;60,53;17,72
2020-09-29 03:47;60,53;17,42
2020-09-29 04:02;60,53;17,42
2020-09-29 04:17;60,53;17,42
2020-09-29 04:32;60,53;17,42
2020-09-29 04:47;60,53;17,42
2020-09-29 05:02;60,53;17,42
2020-09-29 05:17;60,53;17,42
2020-09-29 05:32;60,53;17,42
2020-09-29 05:47;60,53;17,42
2020-09-29 06:02;60,53;17,42
2020-09-29 06:17;60,53;17,42
2020-09-29 06:32;60,53;17,42
2020-09-29 06:47;60,53;17,42
2020-09-29 07:02;60,53;17,42
2020-09-29 07:17;60,53;17,42
2020-09-29 07:32;60,53;17,42
2020-09-29 07:47;60,53;17,42
2020-09-29 08:02;60,53;17,42
2020-09-29 08:17;61,04;17,42
2020-09-29 08:32;61,04;17,42
2020-09-29 08:47;61,04;17,42
2020-09-29 09:02;61,04;17,42
2020-09-29 09:17;61,04;17,42
2020-09-29 09:32;61,04;17,42
2020-09-29 09:47;61,04;17,42
2020-09-29 10:02;61,04;17,42
2020-09-29 10:17;61,04;17,42
2020-09-29 10:32;61,04;17,42
2020-09-29 10:47;61,04;17,42
2020-09-29 11:02;61,04;17,42
2020-09-29 11:17;61,04;17,42
2020-09-29 11:32;61,04;17,42
2020-09-29 11:47;61,04;17,42
2020-09-29 12:02;61,04;17,42
2020-09-29 12:17;61,04;17,42
2020-09-29 12:32;61,04;17,42
2020-09-29 12:47;61,04;17,42
2020-09-29 13:02;61,04;17,42
2020-09-29 13:17;61,04;17,42
2020-09-29 13:32;61,04;17,42
2020-09-29 13:47;61,04;17,42
2020-09-29 14:02;61,04;17,42
2020-09-29 14:17;61,04;17,42
2020-09-29 14:32;61,04;17,42
2020-09-29 14:47;61,04;17,42
2020-09-29 15:02;61,04;17,42
2020-09-29 15:17;61,04;17,42
2020-09-29 15:32;61,04;17,42
2020-09-29 15:47;61,04;17,42
2020-09-29 16:02;61,04;17,72
2020-09-29 16:17;61,04;17,42
2020-09-29 16:32;61,04;17,42
2020-09-29 16:47;61,04;17,42
2020-09-29 17:02;61,04;17,72
2020-09-29 17:17;61,04;17,72
2020-09-29 17:32;61,04;17,72
2020-09-29 17:47;61,04;17,72
2020-09-29 18:02;61,04;17,72
2020-09-29 18:17;61,55;17,72
2020-09-29 18:32;61,55;17,72
2020-09-29 18:47;61,55;17,42
2020-09-29 19:02;61,55;17,42
2020-09-29 19:17;61,55;17,42
2020-09-29 19:32;61,55;17,42
2020-09-29 19:47;61,55;17,42
2020-09-29 20:02;61,55;17,42
2020-09-29 20:17;61,55;17,42
2020-09-29 20:32;61,55;17,42
2020-09-29 20:47;61,55;17,42
2020-09-29 21:02;61,55;17,42
2020-09-29 21:17;61,55;17,42
2020-09-29 21:32;61,55;17,42
2020-09-29 21:47;61,55;17,42
2020-09-29 22:02;61,55;17,42
2020-09-29 22:17;61,55;17,42
2020-09-29 22:32;61,55;17,42
2020-09-29 22:47;61,55;17,42
2020-09-29 23:02;61,55;17,42
2020-09-29 23:17;61,55;17,42
2020-09-29 23:32;61,55;17,42
2020-09-29 23:47;61,55;17,42
2020-09-30 00:02;61,55;17,42
2020-09-30 00:17;61,55;17,42
2020-09-30 00:32;61,55;17,42
2020-09-30 00:47;61,55;17,42
2020-09-30 01:02;61,55;17,42
2020-09-30 01:17;61,55;17,42
2020-09-30 01:32;61,55;17,42
2020-09-30 01:47;61,55;17,42
2020-09-30 02:02;61,55;17,42
2020-09-30 02:17;61,55;17,42
2020-09-30 02:32;61,55;17,42
2020-09-30 02:47;61,55;17,42
2020-09-30 03:02;61,55;17,42
2020-09-30 03:17;61,55;17,42
2020-09-30 03:32;62,06;17,42
2020-09-30 03:47;62,06;17,42
2020-09-30 04:02;62,06;17,42
2020-09-30 04:17;62,06;17,42
2020-09-30 04:32;62,06;17,42
2020-09-30 04:47;62,06;17,42
2020-09-30 05:02;62,06;17,42
2020-09-30 05:17;62,06;17,42
2020-09-30 05:32;62,06;17,42
2020-09-30 05:47;62,06;17,42
2020-09-30 06:02;62,06;17,42
2020-09-30 06:17;62,06;17,42
2020-09-30 06:32;62,06;17,42
2020-09-30 06:47;62,06;17,42
2020-09-30 07:02;62,06;17,42
2020-09-30 07:17;62,06;17,42
2020-09-30 07:32;62,06;17,42
2020-09-30 07:47;62,06;17,42
2020-09-30 08:02;62,06;17,42
2020-09-30 08:17;62,06;17,42
2020-09-30 08:32;62,06;17,42
2020-09-30 08:47;62,06;17,42
2020-09-30 09:02;62,06;17,42
2020-09-30 09:17;62,06;17,42
2020-09-30 09:32;62,06;17,42
2020-09-30 09:47;62,06;17,42
2020-09-30 10:02;62,06;17,42
2020-09-30 10:17;62,06;17,42
2020-09-30 10:32;62,06;17,42
2020-09-30 10:47;62,06;17,42
2020-09-30 11:02;61,55;17,42
2020-09-30 11:17;61,55;17,42
2020-09-30 11:32;61,55;17,42
2020-09-30 11:47;61,55;17,42
2020-09-30 12:02;61,55;17,42
2020-09-30 12:17;61,55;17,42
2020-09-30 12:32;61,55;17,42
2020-09-30 12:47;62,06;17,42
2020-09-30 13:02;62,06;17,42
2020-09-30 13:17;62,06;17,42
2020-09-30 13:32;62,06;17,42
2020-09-30 13:47;62,06;17,42
2020-09-30 14:02;62,06;17,42
2020-09-30 14:17;62,06;17,42
2020-09-30 14:32;62,06;17,42
2020-09-30 14:47;62,06;17,42
2020-09-30 15:02;62,06;17,42
2020-09-30 15:17;62,06;17,42
2020-09-30 15:32;62,06;17,42
2020-09-30 15:47;62,06;17,42
2020-09-30 16:02;62,06;17,42
2020-09-30 16:17;62,06;17,42
2020-09-30 16:32;62,06;17,42
2020-09-30 16:47;62,06;17,42
2020-09-30 17:02;62,06;17,42
2020-09-30 17:17;62,06;17,42
2020-09-30 17:32;62,06;17,42
2020-09-30 17:47;62,06;17,42
2020-09-30 18:02;62,06;17,42
2020-09-30 18:17;62,06;17,42
2020-09-30 18:32;62,06;17,42
2020-09-30 18:47;62,06;17,42
2020-09-30 19:02;62,06;17,42
2020-09-30 19:17;62,06;17,42
2020-09-30 19:32;62,06;17,42
2020-09-30 19:47;61,55;17,42
2020-09-30 20:02;61,55;17,42
2020-09-30 20:17;61,55;17,42
2020-09-30 20:32;61,55;17,42
2020-09-30 20:47;61,55;17,42
2020-09-30 21:02;61,55;17,42
2020-09-30 21:17;61,55;17,42
2020-09-30 21:32;61,55;17,42
2020-09-30 21:47;61,55;17,42
2020-09-30 22:02;61,55;17,42
2020-09-30 22:17;61,55;17,42
2020-09-30 22:32;61,55;17,42
2020-09-30 22:47;61,55;17,42
2020-09-30 23:02;61,55;17,42
2020-09-30 23:17;62,06;17,42
2020-09-30 23:32;62,06;17,42
2020-09-30 23:47;62,06;17,42
2020-10-01 00:02;62,06;17,42
2020-10-01 00:17;62,06;17,42
2020-10-01 00:32;62,06;17,42
2020-10-01 00:47;62,06;17,42
2020-10-01 01:02;62,06;17,42
2020-10-01 01:17;61,55;17,42
2020-10-01 01:32;61,55;17,42
2020-10-01 01:47;61,55;17,42
2020-10-01 02:02;61,55;17,42
2020-10-01 02:17;61,55;17,42
2020-10-01 02:32;61,55;17,42
2020-10-01 02:47;61,55;17,42
2020-10-01 03:02;61,55;17,42
2020-10-01 03:17;61,55;17,42
2020-10-01 03:32;61,55;17,42
2020-10-01 03:47;61,55;17,42
2020-10-01 04:02;61,55;18,02
2020-10-01 04:17;61,04;17,72
2020-10-01 04:32;61,04;17,72
2020-10-01 04:47;61,04;17,72
2020-10-01 05:02;61,04;17,72
2020-10-01 05:17;61,04;17,72
2020-10-01 05:32;61,04;17,72
2020-10-01 05:47;61,04;17,72
2020-10-01 06:02;61,04;17,72
2020-10-01 06:17;61,04;17,72
2020-10-01 06:32;61,04;17,72
2020-10-01 06:47;61,04;17,72
2020-10-01 07:02;61,04;17,72
2020-10-01 07:17;61,04;17,72
2020-10-01 07:32;61,04;17,72
2020-10-01 07:47;61,04;17,72
2020-10-01 08:02;61,04;17,72
2020-10-01 08:17;61,04;17,72
2020-10-01 08:32;61,04;17,72
2020-10-01 08:47;61,04;17,72
2020-10-01 09:02;61,04;17,72
2020-10-01 09:17;61,04;17,72
2020-10-01 09:32;61,04;17,72
2020-10-01 09:47;61,04;17,72
2020-10-01 10:02;61,04;17,72
2020-10-01 10:17;61,04;17,42
2020-10-01 10:32;61,04;17,42
2020-10-01 10:47;60,53;17,42
2020-10-01 11:02;60,53;17,42
2020-10-01 11:17;60,53;17,42
2020-10-01 11:32;61,04;17,42
2020-10-01 11:47;61,04;17,42
2020-10-01 12:02;61,04;17,42
2020-10-01 12:17;61,04;17,42
2020-10-01 12:32;61,04;17,42
2020-10-01 12:47;61,04;17,42
2020-10-01 13:02;61,04;17,42
2020-10-01 13:17;61,04;17,42
2020-10-01 13:32;61,04;17,42
2020-10-01 13:47;61,04;17,72
2020-10-01 14:02;61,04;17,72
2020-10-01 14:17;61,04;17,72
2020-10-01 14:32;61,04;17,72
2020-10-01 14:47;61,04;17,72
2020-10-01 15:02;61,04;17,72
2020-10-01 15:17;61,04;17,72
2020-10-01 15:32;61,04;17,72
2020-10-01 15:47;61,04;17,72
2020-10-01 16:02;61,04;17,72
2020-10-01 16:17;61,04;17,72
2020-10-01 16:32;61,04;17,72
2020-10-01 16:47;61,04;17,72
2020-10-01 17:02;61,04;17,72
2020-10-01 17:17;61,04;17,72
2020-10-01 17:32;61,04;17,72
2020-10-01 17:47;62,06;17,42
2020-10-01 18:02;62,06;17,42
2020-10-01 18:17;62,06;17,42
2020-10-01 18:32;62,06;17,42
2020-10-01 18:47;62,06;17,42
2020-10-01 19:02;62,06;17,42
2020-10-01 19:17;62,06;17,42
2020-10-01 19:32;62,06;17,42
2020-10-01 19:47;62,06;17,42
2020-10-01 20:02;61,55;17,42
2020-10-01 20:17;61,55;17,42
2020-10-01 20:32;61,55;17,42
2020-10-01 20:47;61,55;17,42
2020-10-01 21:02;61,55;17,42
2020-10-01 21:17;61,55;17,72
2020-10-01 21:32;61,55;17,72
2020-10-01 21:47;61,04;17,72
2020-10-01 22:02;61,04;17,72
2020-10-01 22:17;61,04;17,72
2020-10-01 22:32;61,04;17,72
2020-10-01 22:47;61,04;17,72
2020-10-01 23:02;61,04;17,72
2020-10-01 23:17;61,04;17,72
2020-10-01 23:32;61,04;17,72
2020-10-01 23:47;61,04;17,13
2020-10-02 00:02;61,04;17,13
2020-10-02 00:17;61,04;17,13
2020-10-02 00:32;61,04;17,42
2020-10-02 00:47;60,53;17,42
2020-10-02 01:02;60,53;17,42
2020-10-02 01:17;61,04;17,13
2020-10-02 01:32;61,04;17,13
2020-10-02 01:47;61,04;17,13
2020-10-02 02:02;61,04;17,13
2020-10-02 02:17;61,04;17,13
2020-10-02 02:32;61,04;17,13
2020-10-02 02:47;61,04;17,13
2020-10-02 03:02;61,04;17,13
2020-10-02 03:17;60,53;17,42
2020-10-02 03:32;60,53;17,42
2020-10-02 03:47;60,53;17,42
2020-10-02 04:02;60,53;17,42
2020-10-02 04:17;60,53;17,42
2020-10-02 04:32;60,53;17,42
2020-10-02 04:47;60,53;17,42
2020-10-02 05:02;60,53;17,42
2020-10-02 05:17;61,04;17,42
2020-10-02 05:32;61,04;17,42
2020-10-02 05:47;61,04;17,72
2020-10-02 06:02;61,04;17,72
2020-10-02 06:17;60,53;17,72
2020-10-02 06:32;60,53;17,72
2020-10-02 06:47;60,53;17,72
2020-10-02 07:02;60,53;17,42
