TimeStamp;RH
28.9.2020 15:47;65,9
28.9.2020 16:02;71,4
28.9.2020 16:17;71,4
28.9.2020 16:32;74,8
28.9.2020 16:47;73,4
28.9.2020 17:02;71,9
28.9.2020 17:17;73,4
28.9.2020 17:32;74,3
28.9.2020 17:47;76,3
28.9.2020 18:02;77,3
28.9.2020 18:17;76,8
28.9.2020 18:32;77,8
28.9.2020 18:47;77,8
28.9.2020 19:02;78,8
28.9.2020 19:17;78,8
28.9.2020 19:32;78,8
28.9.2020 19:47;80,8
28.9.2020 20:02;81,7
28.9.2020 20:17;83,2
28.9.2020 20:32;83,7
28.9.2020 20:47;84,2
28.9.2020 21:02;85,7
28.9.2020 21:17;86,2
28.9.2020 21:32;87,2
28.9.2020 21:47;87,2
28.9.2020 22:02;88,2
28.9.2020 22:17;88,2
28.9.2020 22:32;89,1
28.9.2020 22:47;89,1
28.9.2020 23:02;90,6
28.9.2020 23:17;90,6
28.9.2020 23:32;91,1
28.9.2020 23:47;93,6
29.9.2020 0:02;93,1
29.9.2020 0:17;95
29.9.2020 0:32;94
29.9.2020 0:47;95
29.9.2020 1:02;95
29.9.2020 1:17;96,5
29.9.2020 1:32;96,5
29.9.2020 1:47;98,9
29.9.2020 2:02;98
29.9.2020 2:17;99,9
29.9.2020 2:32;97,5
29.9.2020 2:47;100,9
29.9.2020 3:02;102,9
29.9.2020 3:17;104,3
29.9.2020 3:32;99,9
29.9.2020 3:47;103,4
29.9.2020 4:02;106,3
29.9.2020 4:17;107,3
29.9.2020 4:32;108,7
29.9.2020 4:47;108,2
29.9.2020 5:02;109,2
29.9.2020 5:17;108,2
29.9.2020 5:32;108,7
29.9.2020 5:47;109,2
29.9.2020 6:02;110,2
29.9.2020 6:17;109,7
29.9.2020 6:32;109,2
29.9.2020 6:47;108,7
29.9.2020 7:02;107,8
29.9.2020 7:17;108,2
29.9.2020 7:32;107,8
29.9.2020 7:47;108,2
29.9.2020 8:02;108,2
29.9.2020 8:17;109,2
29.9.2020 8:32;108,2
29.9.2020 8:47;108,7
29.9.2020 9:02;108,7
29.9.2020 9:17;108,2
29.9.2020 9:32;108,2
29.9.2020 9:47;107,8
29.9.2020 10:02;107,3
29.9.2020 10:17;108,2
29.9.2020 10:32;108,7
29.9.2020 10:47;109,2
29.9.2020 11:02;108,7
29.9.2020 11:17;108,7
29.9.2020 11:32;108,2
29.9.2020 11:47;106,8
29.9.2020 12:02;105,8
29.9.2020 12:17;104,3
29.9.2020 12:32;102,9
29.9.2020 12:47;101,9
29.9.2020 13:02;98,9
29.9.2020 13:17;98,5
29.9.2020 13:32;98,5
29.9.2020 13:47;99,9
29.9.2020 14:02;99,4
29.9.2020 14:17;98
29.9.2020 14:32;94,5
29.9.2020 14:47;92,6
29.9.2020 15:02;93,1
29.9.2020 15:17;93,1
29.9.2020 15:32;92,6
29.9.2020 15:47;93,6
29.9.2020 16:02;95,5
29.9.2020 16:17;95
29.9.2020 16:32;95,5
29.9.2020 16:47;97
29.9.2020 17:02;98,5
29.9.2020 17:17;98,9
29.9.2020 17:32;99,4
29.9.2020 17:47;100,9
29.9.2020 18:02;103,4
29.9.2020 18:17;104,8
29.9.2020 18:32;104,3
29.9.2020 18:47;102,9
29.9.2020 19:02;102,9
29.9.2020 19:17;103,4
29.9.2020 19:32;103,8
29.9.2020 19:47;104,3
29.9.2020 20:02;104,3
29.9.2020 20:17;104,8
29.9.2020 20:32;105,3
29.9.2020 20:47;106,8
29.9.2020 21:02;106,3
29.9.2020 21:17;107,8
29.9.2020 21:32;108,2
29.9.2020 21:47;109,2
29.9.2020 22:02;109,2
29.9.2020 22:17;109,7
29.9.2020 22:32;110,7
29.9.2020 22:47;110,7
29.9.2020 23:02;110,7
29.9.2020 23:17;110,7
29.9.2020 23:32;111,2
29.9.2020 23:47;111,2
30.9.2020 0:02;112,1
30.9.2020 0:17;113,1
30.9.2020 0:32;-13
30.9.2020 0:47;-13,5
30.9.2020 1:02;-12,5
30.9.2020 1:17;-12
30.9.2020 1:32;-12,5
30.9.2020 1:47;-12
30.9.2020 2:02;-12
30.9.2020 2:17;-12
30.9.2020 2:32;-12
30.9.2020 2:47;-12
30.9.2020 3:02;-11,5
30.9.2020 3:17;-11
30.9.2020 3:32;-11
30.9.2020 3:47;-11
30.9.2020 4:02;-9,9
30.9.2020 4:17;-9,9
30.9.2020 4:32;-9,4
30.9.2020 4:47;-9,4
30.9.2020 5:02;-9,9
30.9.2020 5:17;-9,4
30.9.2020 5:32;-8,4
30.9.2020 5:47;-8,9
30.9.2020 6:02;-8,4
30.9.2020 6:17;-8,4
30.9.2020 6:32;-9,4
30.9.2020 6:47;-10,5
30.9.2020 7:02;-10,5
30.9.2020 7:17;-11
30.9.2020 7:32;-10,5
30.9.2020 7:47;-9,9
30.9.2020 8:02;-10,5
30.9.2020 8:17;-9,9
30.9.2020 8:32;-10,5
30.9.2020 8:47;-11
30.9.2020 9:02;-12
30.9.2020 9:17;-13,5
30.9.2020 9:32;113,1
30.9.2020 9:47;112,1
30.9.2020 10:02;111,7
30.9.2020 10:17;109,2
30.9.2020 10:32;109,2
30.9.2020 10:47;108,2
30.9.2020 11:02;107,3
30.9.2020 11:17;105,3
30.9.2020 11:32;104,3
30.9.2020 11:47;101,4
30.9.2020 12:02;100,9
30.9.2020 12:17;97
30.9.2020 12:32;95
30.9.2020 12:47;91,6
30.9.2020 13:02;89,6
30.9.2020 13:17;90,1
30.9.2020 13:32;90,6
30.9.2020 13:47;90,1
30.9.2020 14:02;88,2
30.9.2020 14:17;86,2
30.9.2020 14:32;88,2
30.9.2020 14:47;87,7
30.9.2020 15:02;86,7
30.9.2020 15:17;86,7
30.9.2020 15:32;85,7
30.9.2020 15:47;88,2
30.9.2020 16:02;90,6
30.9.2020 16:17;92,6
30.9.2020 16:32;93,1
30.9.2020 16:47;94
30.9.2020 17:02;95,5
30.9.2020 17:17;96,5
30.9.2020 17:32;98
30.9.2020 17:47;98
30.9.2020 18:02;96
30.9.2020 18:17;94
30.9.2020 18:32;95
30.9.2020 18:47;95
